client_num,time_stamp,event,server_id,avg_thread_count
4821,1509037349371,done,1509036206104,2.1666666666666674
4828,1509037349385,start,,
4829,1509037349517,start,,
4822,1509037349525,done,1509036452413,2.333333333333327
4830,1509037349658,start,,
4823,1509037349666,done,1509037037912,2.3166666666666678
4831,1509037349801,start,,
4824,1509037349823,done,1509036206104,2.1666666666666674
4832,1509037349952,start,,
4825,1509037349962,done,1509036452413,2.333333333333327
4833,1509037350089,start,,
4826,1509037350107,done,1509037037912,2.3166666666666678
4834,1509037350225,start,,
4827,1509037350240,done,1509036206104,2.1666666666666674
4835,1509037350367,start,,
4828,1509037350385,done,1509036452413,2.333333333333327
4829,1509037350512,done,1509037037912,2.3166666666666678
4836,1509037350516,start,,
4837,1509037350656,start,,
4830,1509037350659,done,1509036206104,2.1666666666666674
4831,1509037350794,done,1509036452413,2.333333333333327
4838,1509037350797,start,,
4839,1509037350936,start,,
4832,1509037350955,done,1509037037912,2.3166666666666678
4840,1509037351078,start,,
4833,1509037351085,done,1509036206104,2.1666666666666674
4834,1509037351215,done,1509036452413,2.333333333333327
4841,1509037351221,start,,
4842,1509037351359,start,,
4835,1509037351361,done,1509037037912,2.3166666666666678
4843,1509037351502,start,,
4836,1509037351513,done,1509036206104,2.1666666666666674
4844,1509037351645,start,,
4837,1509037351653,done,1509036452413,2.333333333333327
4845,1509037351788,start,,
4838,1509037351795,done,1509037037912,2.3166666666666678
4846,1509037351929,start,,
4839,1509037351933,done,1509036206104,2.1666666666666674
4840,1509037352075,done,1509036452413,2.333333333333327
4847,1509037352077,start,,
4841,1509037352216,done,1509037037912,2.3166666666666678
4848,1509037352219,start,,
4842,1509037352351,done,1509036206104,2.1666666666666674
4849,1509037352356,start,,
4843,1509037352493,done,1509036452413,2.333333333333327
4850,1509037352496,start,,
4851,1509037352637,start,,
4844,1509037352639,done,1509037037912,2.3166666666666678
4845,1509037352784,done,1509036206104,2.150000000000001
4852,1509037352786,start,,
4853,1509037352922,start,,
4846,1509037352925,done,1509036452413,2.333333333333327
4854,1509037353061,start,,
4847,1509037353079,done,1509037037912,2.3166666666666678
4855,1509037353201,start,,
4848,1509037353216,done,1509036206104,2.150000000000001
4849,1509037353389,done,1509036452413,2.333333333333327
4856,1509037353389,start,,
4850,1509037353496,done,1509037037912,2.3166666666666678
4857,1509037353558,start,,
4851,1509037353675,done,1509036206104,2.150000000000001
4858,1509037353675,start,,
4852,1509037353792,done,1509036452413,2.333333333333327
4859,1509037353848,start,,
4860,1509037353970,start,,
4853,1509037353971,done,1509037037912,2.3166666666666678
4854,1509037354049,done,1509036206104,2.150000000000001
4861,1509037354149,start,,
4862,1509037354338,start,,
4855,1509037354339,done,1509036452413,2.333333333333327
4863,1509037354352,start,,
4856,1509037354396,done,1509037037912,2.3166666666666678
4864,1509037354512,start,,
4857,1509037354548,done,1509036206104,2.150000000000001
4865,1509037354654,start,,
4858,1509037354662,done,1509036452413,2.333333333333327
4866,1509037354822,start,,
4859,1509037354843,done,1509037037912,2.3166666666666678
4867,1509037354947,start,,
4860,1509037354973,done,1509036206104,2.150000000000001
4868,1509037355124,start,,
4861,1509037355251,done,1509036452413,2.333333333333327
4869,1509037355251,start,,
4862,1509037355333,done,1509037037912,2.3166666666666678
4863,1509037355378,done,1509036206104,2.150000000000001
4870,1509037355427,start,,
4871,1509037355546,start,,
4864,1509037355547,done,1509036452413,2.333333333333327
4872,1509037355609,start,,
4865,1509037355678,done,1509037037912,2.3333333333333344
4873,1509037355906,start,,
4866,1509037355916,done,1509036206104,2.150000000000001
4874,1509037355917,start,,
4867,1509037355954,done,1509036452413,2.333333333333327
4875,1509037356092,start,,
4868,1509037356196,done,1509037037912,2.3333333333333344
4876,1509037356201,start,,
4869,1509037356276,done,1509036206104,2.150000000000001
4877,1509037356485,start,,
4870,1509037356492,done,1509036452413,2.333333333333327
4878,1509037356492,start,,
4871,1509037356571,done,1509037037912,2.3333333333333344
4872,1509037356636,done,1509036206104,2.150000000000001
4879,1509037356656,start,,
4880,1509037356732,start,,
4881,1509037356878,start,,
4873,1509037356926,done,1509036452413,2.333333333333327
4874,1509037356927,done,1509037037912,2.3166666666666678
4882,1509037357019,start,,
4875,1509037357097,done,1509036206104,2.150000000000001
4883,1509037357160,start,,
4876,1509037357270,done,1509036452413,2.333333333333327
4884,1509037357302,start,,
4885,1509037357443,start,,
4878,1509037357515,done,1509036206104,2.150000000000001
4886,1509037357579,start,,
4877,1509037357653,done,1509037037912,2.3333333333333344
4887,1509037357730,start,,
4879,1509037357841,done,1509036452413,2.333333333333327
4888,1509037357868,start,,
4880,1509037357923,done,1509037037912,2.3333333333333344
4881,1509037357928,done,1509036206104,2.150000000000001
4889,1509037358014,start,,
4882,1509037358073,done,1509036452413,2.333333333333327
4890,1509037358154,start,,
4891,1509037358286,start,,
4883,1509037358296,done,1509037037912,2.3333333333333344
4884,1509037358322,done,1509036206104,2.150000000000001
4892,1509037358436,start,,
4893,1509037358569,start,,
4885,1509037358610,done,1509036452413,2.333333333333327
4886,1509037358659,done,1509037037912,2.350000000000001
4894,1509037358719,start,,
4887,1509037358739,done,1509036206104,2.150000000000001
4895,1509037358857,start,,
